x,z,erosion,U,βz,h_wb,slope
985.0,1922.0954545454545,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
990.0,1921.7,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
995.0,1921.3045454545454,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1000.0,1920.909090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1005.0,1920.5136363636364,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1010.0,1920.1181818181817,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1015.0,1919.7227272727273,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1020.0,1919.3272727272727,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1025.0,1918.9318181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1030.0,1918.5363636363636,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1035.0,1918.1409090909092,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1040.0,1917.7454545454545,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1045.0,1917.35,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1050.0,1916.9545454545455,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1055.0,1916.5590909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1060.0,1916.1636363636364,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1065.0,1915.7681818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1070.0,1915.3727272727274,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1075.0,1914.9772727272727,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1080.0,1914.581818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1085.0,1914.1863636363637,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1090.0,1913.790909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1095.0,1913.3954545454546,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1100.0,1913.0,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1105.0,1912.6045454545454,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1110.0,1912.209090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1115.0,1911.8136363636363,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1120.0,1911.418181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1125.0,1911.0227272727273,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1130.0,1910.6272727272726,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1135.0,1910.2318181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1140.0,1909.8363636363636,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1145.0,1909.4409090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1150.0,1909.0454545454545,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1155.0,1908.65,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1160.0,1908.2545454545455,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1165.0,1907.8590909090908,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1170.0,1907.4636363636364,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1175.0,1907.0681818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1180.0,1906.6727272727273,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1185.0,1906.2772727272727,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1190.0,1905.8818181818183,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1195.0,1905.4863636363636,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1200.0,1905.090909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1205.0,1904.6954545454546,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1210.0,1904.3,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1215.0,1903.9045454545455,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1220.0,1903.509090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1225.0,1903.1136363636365,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1230.0,1902.7181818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1235.0,1902.3227272727272,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1240.0,1901.9272727272728,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1245.0,1901.5318181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1250.0,1901.1363636363637,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1255.0,1900.740909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1260.0,1900.3454545454545,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1265.0,1899.95,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1270.0,1899.5545454545454,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1275.0,1899.159090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1280.0,1898.7636363636364,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1285.0,1898.3681818181817,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1290.0,1897.9727272727273,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1295.0,1897.5772727272727,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1300.0,1897.1818181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1305.0,1896.7863636363636,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1310.0,1896.3909090909092,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
